alpha,theta_ab,a,b,S,valid
5.0,0.0,7.291,0.0,0.0,False
5.0,1.0,7.29,0.127,0.9276149835594557,False
5.0,2.0,7.286,0.254,1.8539774575892243,False
5.0,3.0,7.28,0.382,2.7778368743996973,False
5.0,4.0,7.272,0.509,3.697946606194914,False
5.0,5.0,7.261,0.635,4.613065895562502,False
5.0,6.0,7.248,0.762,5.521961794641628,False
5.0,7.0,7.233,0.888,6.423411089238653,False
5.0,8.0,7.215,1.014,7.316202204197503,False
5.0,9.0,7.195,1.14,8.199137086378062,False
5.0,10.0,7.172,1.265,9.07103306165131,False
5.0,11.0,7.148,1.389,9.930724662384021,False
5.0,12.0,7.121,1.514,10.77706542195843,False
5.0,13.0,7.091,1.637,11.6089296329535,False
5.0,14.0,7.059,1.76,12.425214065703356,False
5.0,15.0,7.025,1.882,13.224839644045563,False
5.0,16.0,6.989,2.004,14.006753075176347,False
5.0,17.0,6.951,2.125,14.769928430641455,False
5.0,18.0,6.91,2.245,15.513368675610039,False
5.0,19.0,6.867,2.364,16.236107143703798,False
5.0,20.0,6.822,2.483,16.937208954784772,False
5.0,21.0,6.796,2.609,17.7268878846466,False
5.0,22.0,6.799,2.747,18.677612266537874,False
5.0,23.0,6.8,2.886,19.627674519599523,False
5.0,24.0,6.799,3.027,20.58011388777954,False
5.0,25.0,6.795,3.168,21.5283003752198,False
5.0,26.0,6.788,3.311,22.47028715560548,False
5.0,27.0,6.777,3.453,23.404106728870204,False
5.0,28.0,6.764,3.597,24.32774692975211,False
5.0,29.0,6.748,3.74,25.2391547653275,False
5.0,30.0,6.728,3.885,26.13624189386642,False
5.0,31.0,6.705,4.029,27.0168896505176,False
5.0,32.0,6.679,4.174,27.878954454885932,False
5.0,33.0,6.681,4.339,28.988903466820616,False
5.0,34.0,6.714,4.529,30.409508282681006,False
5.0,35.0,6.742,4.721,31.831571769831726,False
5.0,36.0,6.765,4.915,33.25032010673432,False
5.0,37.0,6.782,5.111,34.66081595059271,False
5.0,38.0,6.794,5.308,36.057978550932255,False
5.0,39.0,6.799,5.506,37.436604959502255,False
5.0,40.0,6.799,5.705,38.79288778944258,False
5.0,41.0,6.794,5.906,40.121601279331244,False
5.0,42.0,6.782,6.107,41.415723303938286,False
5.0,43.0,6.764,6.308,42.66977583194781,False
5.0,44.0,6.741,6.509,43.87827664160105,False
5.0,45.0,6.711,6.711,45.035764669439025,False
5.0,46.0,6.675,6.912,46.13682558666875,False
5.0,47.0,6.633,7.113,47.176117471060266,False
5.0,48.0,6.584,7.313,48.14839644221532,False
5.0,49.0,6.53,7.512,49.04854212857794,True
5.0,50.0,6.469,7.709,49.87158283568189,True
5.0,51.0,6.402,7.906,50.61272028684454,True
5.0,52.0,6.329,8.101,51.26735380981543,True
5.0,53.0,6.25,8.294,51.83110384575983,True
5.0,54.0,6.164,8.484,52.29983466039375,True
5.0,55.0,6.073,8.673,52.66967614107131,True
5.0,56.0,5.975,8.859,52.93704456814167,True
5.0,57.0,5.872,9.042,53.09866225392499,True
5.0,58.0,5.793,9.271,53.70574315066476,True
5.0,59.0,5.72,9.52,54.460030515974324,True
5.0,60.0,5.637,9.764,55.04546464083379,True
5.0,61.0,5.544,10.002,55.45844514557946,True
5.0,62.0,5.442,10.235,55.695952865922706,True
5.0,63.0,5.33,10.461,55.755588079532394,True
5.0,64.0,5.209,10.68,55.6356017541889,True
5.0,65.0,5.08,10.893,55.334920622855236,True
5.0,66.0,4.942,11.1,54.85316666678859,True
5.0,67.0,4.796,11.299,54.19067143524339,True
5.0,68.0,4.643,11.491,53.3484855263613,True
5.0,69.0,4.482,11.676,52.328383483387974,True
5.0,70.0,4.353,11.96,52.06106813179582,True
5.0,71.0,4.213,12.237,51.55714248698894,True
5.0,72.0,4.06,12.497,50.743317190476574,True
5.0,73.0,3.895,12.742,49.63470089014449,True
5.0,74.0,3.719,12.971,48.245496467123814,True
5.0,75.0,3.533,13.186,46.58952693768889,True
5.0,76.0,3.338,13.387,44.68057860378435,False
5.0,77.0,3.134,13.573,42.532626393034974,False
5.0,78.0,2.922,13.745,40.159980179707865,False
5.0,79.0,2.703,13.904,37.577376222563345,False
5.0,80.0,2.477,14.049,34.800029288079976,False
5.0,81.0,2.246,14.179,31.84365583583573,False
5.0,82.0,2.009,14.296,28.72447539812032,False
5.0,83.0,1.768,14.4,25.459195203270394,False
5.0,84.0,1.523,14.489,22.064981724545337,False
5.0,85.0,1.274,14.565,18.559421920474804,False
5.0,86.0,1.023,14.627,14.960476309274755,False
5.0,87.0,0.769,14.675,11.286425590377254,False
5.0,88.0,0.514,14.71,7.555812227800511,False
5.0,89.0,0.257,14.73,3.7873782027218756,False
5.0,90.0,0.0,14.737,1.329855101207046e-14,False
10.0,0.0,7.778,0.0,0.0,False
10.0,1.0,7.777,0.136,1.0557508591534541,False
10.0,2.0,7.773,0.271,2.1099380060927357,False
10.0,3.0,7.766,0.407,3.161000676004272,False
10.0,4.0,7.757,0.542,4.2073839915803495,False
10.0,5.0,7.745,0.678,5.247541888557119,False
10.0,6.0,7.73,0.812,6.2799400194602875,False
10.0,7.0,7.712,0.947,7.303058628403329,False
10.0,8.0,7.692,1.081,8.315395389875993,False
10.0,9.0,7.669,1.215,9.315468204576216,False
10.0,10.0,7.644,1.348,10.301817945476056,False
10.0,11.0,7.615,1.48,11.273011147471156,False
10.0,12.0,7.585,1.612,12.227642634143189,False
10.0,13.0,7.551,1.743,13.164338075364785,False
10.0,14.0,7.515,1.874,14.081756469695872,False
10.0,15.0,7.477,2.003,14.97859254575834,False
10.0,16.0,7.436,2.132,15.853579077031547,False
10.0,17.0,7.392,2.26,16.705489104783425,False
10.0,18.0,7.346,2.387,17.533138064139628,False
10.0,19.0,7.297,2.513,18.33538580859537,False
10.0,20.0,7.246,2.637,19.111138528589986,False
10.0,21.0,7.193,2.761,19.85935056009191,False
10.0,22.0,7.137,2.883,20.579026079479707,False
10.0,23.0,7.089,3.009,21.3337598237314,False
10.0,24.0,7.067,3.146,22.234791073312085,False
10.0,25.0,7.041,3.283,23.11716851183088,False
10.0,26.0,7.012,3.42,23.978830416207458,False
10.0,27.0,6.979,3.556,24.817733637479826,False
10.0,28.0,6.943,3.692,25.631860056485117,False
10.0,29.0,6.904,3.827,26.419223047193956,False
10.0,30.0,6.861,3.961,27.177873921746475,False
10.0,31.0,6.815,4.095,27.905908331046422,False
10.0,32.0,6.765,4.228,28.60147259470408,False
10.0,33.0,6.713,4.359,29.262769934176653,False
10.0,34.0,6.726,4.536,30.509794872931817,False
10.0,35.0,6.751,4.727,31.91497931660571,False
10.0,36.0,6.772,4.92,33.31586219717395,False
10.0,37.0,6.787,5.114,34.70758988094386,False
10.0,38.0,6.796,5.31,36.08517115912542,False
10.0,39.0,6.8,5.506,37.4434979279656,False
10.0,40.0,6.798,5.704,38.779794523494544,False
10.0,41.0,6.791,5.903,40.08700082038054,False
10.0,42.0,6.777,6.102,41.3592051864096,False
10.0,43.0,6.758,6.302,42.591040372620995,False
10.0,44.0,6.733,6.502,43.77713731418395,False
10.0,45.0,6.702,6.702,44.91214985488752,False
10.0,46.0,6.664,6.901,45.99077969497762,False
10.0,47.0,6.621,7.1,47.00780143328936,False
10.0,48.0,6.571,7.298,47.95808757451364,True
10.0,49.0,6.516,7.495,48.836633372920865,True
10.0,50.0,6.454,7.691,49.638581384939016,True
10.0,51.0,6.386,7.886,50.35924560463938,True
10.0,52.0,6.312,8.079,50.99413505841719,True
10.0,53.0,6.232,8.27,51.53897673795206,True
10.0,54.0,6.146,8.459,51.989737753887624,True
10.0,55.0,6.088,8.695,52.93996664782087,True
10.0,56.0,6.037,8.951,54.038696878618154,True
10.0,57.0,5.975,9.201,54.982744864674856,True
10.0,58.0,5.903,9.447,55.767187346047024,True
10.0,59.0,5.821,9.687,56.38760068314049,True
10.0,60.0,5.729,9.922,56.84010844108554,True
10.0,61.0,5.627,10.151,57.1214215428676,True
10.0,62.0,5.516,10.375,57.22887199203712,True
10.0,63.0,5.397,10.592,57.160440867219634,True
10.0,64.0,5.269,10.802,56.91478108889743,True
10.0,65.0,5.132,11.007,56.4912353218494,True
10.0,66.0,4.988,11.204,55.88984928350959,True
10.0,67.0,4.837,11.394,55.11138066573715,True
10.0,68.0,4.678,11.578,54.15730383600232,True
10.0,69.0,4.512,11.754,53.02981045758928,True
10.0,70.0,4.339,11.922,51.731806152822855,True
10.0,71.0,4.189,12.167,50.96916143751383,True
10.0,72.0,4.036,12.422,50.13429383850487,True
10.0,73.0,3.871,12.662,49.013812271641186,True
10.0,74.0,3.695,12.887,47.62103431943632,True
10.0,75.0,3.51,13.098,45.969053216542164,True
10.0,76.0,3.315,13.295,44.071028441866254,False
10.0,77.0,3.112,13.478,41.94037674882395,False
10.0,78.0,2.901,13.648,39.590895511393086,False
10.0,79.0,2.683,13.804,37.03683848449998,False
10.0,80.0,2.459,13.946,34.2929570968414,False
10.0,81.0,2.229,14.074,31.37451611459806,False
10.0,82.0,1.994,14.19,28.297289812764888,False
10.0,83.0,1.755,14.291,25.07754304159619,False
10.0,84.0,1.511,14.379,21.73200041822534,False
10.0,85.0,1.265,14.454,18.277806093360606,False
10.0,86.0,1.015,14.515,14.73247600901573,False
10.0,87.0,0.763,14.562,11.113844193526893,False
10.0,88.0,0.51,14.596,7.4400043823146165,False
10.0,89.0,0.255,14.617,3.729248073061739,False
10.0,90.0,0.0,14.624,1.3094345283178074e-14,False
15.0,0.0,8.258,0.0,0.0,False
15.0,1.0,8.257,0.144,1.1900238216941657,False
15.0,2.0,8.252,0.288,2.3781316782188897,False
15.0,3.0,8.245,0.432,3.562411771844038,False
15.0,4.0,8.234,0.576,4.740960627581991,False
15.0,5.0,8.22,0.719,5.911887224263759,False
15.0,6.0,8.204,0.862,7.073317089387255,False
15.0,7.0,8.184,1.005,8.22339634587154,False
15.0,8.0,8.161,1.147,9.360295699029672,False
15.0,9.0,8.135,1.288,10.482214352294484,False
15.0,10.0,8.106,1.429,11.587383840495734,False
15.0,11.0,8.075,1.57,12.674071769792144,False
15.0,12.0,8.04,1.709,13.740585453706396,False
15.0,13.0,8.003,1.848,14.785275435094231,False
15.0,14.0,7.962,1.985,15.806538884297858,False
15.0,15.0,7.919,2.122,16.80282286418801,False
15.0,16.0,7.873,2.257,17.7726274532852,False
15.0,17.0,7.824,2.392,18.71450871866806,False
15.0,18.0,7.803,2.535,19.78542667501195,False
15.0,19.0,7.79,2.682,20.8971880427061,False
15.0,20.0,7.774,2.829,21.994006817048,False
15.0,21.0,7.753,2.976,23.073324976082322,False
15.0,22.0,7.729,3.123,24.132596500339915,False
15.0,23.0,7.7,3.269,25.169295716558594,False
15.0,24.0,7.668,3.414,26.180925659508517,False
15.0,25.0,7.633,3.559,27.165026417087297,False
15.0,26.0,7.593,3.703,28.119183423691428,False
15.0,27.0,7.55,3.847,29.04103566688119,False
15.0,28.0,7.502,3.989,29.928283772535707,False
15.0,29.0,7.452,4.13,30.77869793404166,False
15.0,30.0,7.397,4.271,31.590125651573555,False
15.0,31.0,7.339,4.41,32.36049924820113,False
15.0,32.0,7.277,4.547,33.0878431303984,False
15.0,33.0,7.211,4.683,33.770280761525015,False
15.0,34.0,7.142,4.817,34.40604131799814,False
15.0,35.0,7.069,4.95,34.99346599916833,False
15.0,36.0,6.993,5.081,35.531013963347604,False
15.0,37.0,6.914,5.21,36.01726786400655,False
15.0,38.0,6.83,5.337,36.45093896185232,False
15.0,39.0,6.8,5.506,37.44116878626945,False
15.0,40.0,6.795,5.702,38.74376620741497,False
15.0,41.0,6.785,5.898,40.01588057948503,False
15.0,42.0,6.769,6.095,41.2523457487262,False
15.0,43.0,6.747,6.292,42.447974263001186,False
15.0,44.0,6.719,6.489,43.59758074471679,False
15.0,45.0,6.686,6.686,44.69600560216799,False
15.0,46.0,6.646,6.882,45.738138956113225,True
15.0,47.0,6.6,7.078,46.71894465762133,True
15.0,48.0,6.549,7.273,47.63348427304636,True
15.0,49.0,6.492,7.468,48.47694091238734,True
15.0,50.0,6.428,7.661,49.244642778270695,True
15.0,51.0,6.359,7.852,49.932086314346805,True
15.0,52.0,6.334,8.107,51.34726604560607,True
15.0,53.0,6.303,8.364,52.71540869995356,True
15.0,54.0,6.261,8.617,53.94750580313739,True
15.0,55.0,6.208,8.866,55.037528776972565,True
15.0,56.0,6.145,9.11,55.97986582509191,True
15.0,57.0,6.072,9.35,56.76937393517384,True
15.0,58.0,5.989,9.584,57.40142391279451,True
15.0,59.0,5.897,9.814,57.87193942928881,True
15.0,60.0,5.796,10.038,58.17743075806054,True
15.0,61.0,5.685,10.257,58.31502366668606,True
15.0,62.0,5.567,10.47,58.28248379193354,True
15.0,63.0,5.44,10.676,58.07823672979843,True
15.0,64.0,5.305,10.877,57.70138400871061,True
15.0,65.0,5.162,11.071,57.151715071825976,True
15.0,66.0,5.012,11.258,56.4297153674345,True
15.0,67.0,4.855,11.438,55.53657063063585,True
15.0,68.0,4.691,11.612,54.47416743150846,True
15.0,69.0,4.521,11.777,53.2450900628578,True
15.0,70.0,4.344,11.936,51.85261384271193,True
15.0,71.0,4.162,12.087,50.3006949118949,True
15.0,72.0,3.995,12.296,49.12330601902166,True
15.0,73.0,3.83,12.528,47.9856795376739,True
15.0,74.0,3.655,12.747,46.58891217320823,True
15.0,75.0,3.47,12.951,44.9449984094249,False
15.0,76.0,3.277,13.143,43.0661404647128,False
15.0,77.0,3.075,13.321,40.96489212913582,False
15.0,78.0,2.866,13.485,38.65425016766499,False
15.0,79.0,2.651,13.637,36.147708109531365,False
15.0,80.0,2.429,13.775,33.45928228484117,False
15.0,81.0,2.202,13.9,30.60351687223268,False
15.0,82.0,1.969,14.013,27.595472734312512,False
15.0,83.0,1.733,14.112,24.45070351307884,False
15.0,84.0,1.492,14.197,21.18522158390236,False
15.0,85.0,1.248,14.27,17.815455871627737,False
15.0,86.0,1.002,14.329,14.358203121499269,False
15.0,87.0,0.753,14.376,10.830573930976248,False
15.0,88.0,0.503,14.409,7.249934647374506,False
15.0,89.0,0.252,14.429,3.6338460952732454,False
15.0,90.0,0.0,14.435,1.2759211848157687e-14,False
20.0,0.0,8.727,0.0,0.0,False
20.0,1.0,8.726,0.152,1.3289470363716778,False
20.0,2.0,8.72,0.305,2.655587122947735,False
20.0,3.0,8.712,0.457,3.9776189340996466,False
20.0,4.0,8.7,0.608,5.292752374155265,False
20.0,5.0,8.685,0.76,6.598714146507537,False
20.0,6.0,8.666,0.911,7.8932532678897,False
20.0,7.0,8.644,1.061,9.174146509887782,False
20.0,8.0,8.619,1.211,10.439203750057905,False
20.0,9.0,8.59,1.36,11.686273215384338,False
20.0,10.0,8.558,1.509,12.913246601252155,False
20.0,11.0,8.522,1.657,14.118064049614297,False
20.0,12.0,8.484,1.803,15.298718970604039,False
20.0,13.0,8.469,1.955,16.55821913384138,False
20.0,14.0,8.469,2.112,17.882846564168368,False
20.0,15.0,8.465,2.268,19.199966470973898,False
20.0,16.0,8.457,2.425,20.506454520800308,False
20.0,17.0,8.444,2.582,21.799178588771245,False
20.0,18.0,8.427,2.738,23.075009431074502,False
20.0,19.0,8.406,2.894,24.330831441257587,False
20.0,20.0,8.381,3.05,25.56355344414282,False
20.0,21.0,8.351,3.206,26.770119480796556,False
20.0,22.0,8.317,3.36,27.947519537838218,False
20.0,23.0,8.279,3.514,29.092800174453956,False
20.0,24.0,8.236,3.667,30.203075000782913,False
20.0,25.0,8.19,3.819,31.275534961872644,False
20.0,26.0,8.139,3.97,32.30745838214871,False
20.0,27.0,8.084,4.119,33.29622072631113,False
20.0,28.0,8.025,4.267,34.23930403375013,False
20.0,29.0,7.961,4.413,35.134305984960285,False
20.0,30.0,7.894,4.558,35.97894856002045,False
20.0,31.0,7.823,4.7,36.77108625098615,False
20.0,32.0,7.748,4.841,37.50871379200578,False
20.0,33.0,7.669,4.98,38.18997337311022,False
20.0,34.0,7.586,5.117,38.81316130592762,False
20.0,35.0,7.499,5.251,39.37673411203129,False
20.0,36.0,7.409,5.383,39.87931400722355,False
20.0,37.0,7.315,5.512,40.31969375778394,False
20.0,38.0,7.217,5.639,40.6968408875489,False
20.0,39.0,7.116,5.763,41.00990121763115,False
20.0,40.0,7.012,5.884,41.25820172361463,False
20.0,41.0,6.905,6.002,41.44125269816072,False
20.0,42.0,6.794,6.117,41.558749210119316,False
20.0,43.0,6.729,6.275,42.224241822303775,False
20.0,44.0,6.698,6.468,43.32446695854223,True
20.0,45.0,6.661,6.661,44.37342077155975,True
20.0,46.0,6.619,6.854,45.36624710981231,True
20.0,47.0,6.571,7.046,46.29816471414247,True
20.0,48.0,6.542,7.266,47.536893546433284,True
20.0,49.0,6.539,7.523,49.19353081531629,True
20.0,50.0,6.525,7.777,50.74457087294426,True
20.0,51.0,6.501,8.028,52.18431954306099,True
20.0,52.0,6.465,8.275,53.50270438292864,True
20.0,53.0,6.42,8.519,54.693197178286475,True
20.0,54.0,6.364,8.76,55.74966188454871,True
20.0,55.0,6.299,8.996,56.66639986678625,True
20.0,56.0,6.224,9.228,57.43819038068659,True
20.0,57.0,6.14,9.455,58.06032675594023,True
20.0,58.0,6.048,9.678,58.528648588372135,True
20.0,59.0,5.946,9.896,58.83957014231354,True
20.0,60.0,5.836,10.108,58.99010509409902,True
20.0,61.0,5.718,10.315,58.97788770064069,True
20.0,62.0,5.592,10.516,58.80119044674907,True
20.0,63.0,5.458,10.711,58.45893820646031,True
20.0,64.0,5.316,10.9,57.95071894379868,True
20.0,65.0,5.168,11.083,57.27679097482808,True
20.0,66.0,5.013,11.259,56.438086813876915,True
20.0,67.0,4.851,11.428,55.436213631246105,True
20.0,68.0,4.683,11.59,54.27345035665383,True
20.0,69.0,4.509,11.745,52.95274147145104,True
20.0,70.0,4.329,11.893,51.47768754275817,True
20.0,71.0,4.143,12.033,49.8525325637242,True
20.0,72.0,3.953,12.165,48.08214817577396,True
20.0,73.0,3.773,12.341,46.56114942531758,True
20.0,74.0,3.599,12.55,45.162602121831966,False
20.0,75.0,3.415,12.746,43.53272718603803,False
20.0,76.0,3.224,12.93,41.68254714826553,False
20.0,77.0,3.025,13.101,39.62353319161571,False
20.0,78.0,2.818,13.259,37.367662552419546,False
20.0,79.0,2.606,13.405,34.92744868386973,False
20.0,80.0,2.387,13.538,32.315950795601395,False
20.0,81.0,2.163,13.658,29.546767419708807,False
20.0,82.0,1.935,13.766,26.634017368019972,False
20.0,83.0,1.702,13.862,23.59231058587771,False
20.0,84.0,1.466,13.944,20.436710822912257,False
20.0,85.0,1.226,14.014,17.182691637637074,False
20.0,86.0,0.984,14.072,13.846086970771227,False
20.0,87.0,0.74,14.116,10.443037323615542,False
20.0,88.0,0.494,14.148,6.989932437370592,False
20.0,89.0,0.247,14.167,3.5033512702118967,False
20.0,90.0,0.0,14.173,1.2300812115382047e-14,False
25.0,0.0,9.181,0.0,0.0,False
25.0,1.0,9.18,0.16,1.4708324615361086,False
25.0,2.0,9.174,0.32,2.938932289177598,False
25.0,3.0,9.164,0.48,4.401574156527974,False
25.0,4.0,9.151,0.64,5.856047326192594,False
25.0,5.0,9.134,0.799,7.299662879406455,False
25.0,6.0,9.114,0.958,8.729760868129741,False
25.0,7.0,9.089,1.116,10.143717364291097,False
25.0,8.0,9.061,1.273,11.538951381304788,False
25.0,9.0,9.074,1.437,13.041868929209574,False
25.0,10.0,9.087,1.602,14.560175692398388,False
25.0,11.0,9.095,1.768,16.07938567071339,False
25.0,12.0,9.098,1.934,17.595772332532913,False
25.0,13.0,9.097,2.1,19.10557622318276,False
25.0,14.0,9.091,2.267,20.605018349322894,False
25.0,15.0,9.08,2.433,22.09031373747331,False
25.0,16.0,9.064,2.599,23.557685106839553,False
25.0,17.0,9.043,2.765,25.003376595905312,False
25.0,18.0,9.018,2.93,26.423667481859937,False
25.0,19.0,8.988,3.095,27.814885831822927,False
25.0,20.0,8.953,3.259,29.173422025016084,False
25.0,21.0,8.913,3.421,30.495742085518085,False
25.0,22.0,8.869,3.583,31.778400766008613,False
25.0,23.0,8.82,3.744,33.01805432397184,False
25.0,24.0,8.766,3.903,34.21147293317165,False
25.0,25.0,8.707,4.06,35.355552674830136,False
25.0,26.0,8.645,4.216,36.447327054827376,False
25.0,27.0,8.577,4.37,37.483977995385125,False
25.0,28.0,8.505,4.522,38.46284625209021,False
25.0,29.0,8.429,4.672,39.381441209741766,False
25.0,30.0,8.348,4.82,40.23745001336062,False
25.0,31.0,8.263,4.965,41.02874599375941,False
25.0,32.0,8.174,5.108,41.753396350331755,False
25.0,33.0,8.081,5.248,42.40966905715388,False
25.0,34.0,7.984,5.385,42.99603896209137,False
25.0,35.0,7.883,5.52,43.51119305234887,False
25.0,36.0,7.778,5.651,43.95403486377076,False
25.0,37.0,7.669,5.779,44.32368801518077,False
25.0,38.0,7.557,5.904,44.61949885311797,False
25.0,39.0,7.441,6.026,44.84103819646294,True
25.0,40.0,7.322,6.144,44.98810217463718,True
25.0,41.0,7.2,6.259,45.06071215727392,True
25.0,42.0,7.074,6.37,45.05911377748469,True
25.0,43.0,6.945,6.477,44.9837750550589,True
25.0,44.0,6.817,6.583,44.87527042484944,True
25.0,45.0,6.728,6.728,45.26887229703687,True
25.0,46.0,6.717,6.955,46.715868418474635,True
